Question Answer Diversity Scores,,,,,,,,,,,,,,,,,,,,,
num,Question,Domain,Score 1,Score 2,Score 3,Score 4,Score 5,Score 7,Score 8,Score 9,Score 10,SUM,COUNT,AVERAGE,AV_RND,STDEV,MODE ,MEDIAN,AGREEMENT,,GEMMA
1,Why do humans form social hierarchies?,social,3,2,4,4,4,5,4,3,4,33,9,3.67,4,0.87,4,4,1,,4
2,Why do people gossip?,social,3,4,4,5,3,2,3,4,3,31,9,3.44,3,0.88,3,3,2,,4
3,Why do we age?,natural,2,4,3,5,2,3,5,2,2,28,9,3.11,3,1.27,2,3,2,,5
4,Why do leaves change colour in autumn?,natural,1,2,3,1,2,2,2,1,1,15,9,1.67,2,0.71,1,2,1,,3
5,Why does the cost of living keep rising?,economic,5,3,4,3,3,4,3,3,5,33,9,3.67,4,0.87,3,3,2,,4
6,Why do recessions happen?,economic,4,3,3,4,5,3,3,3,4,32,9,3.56,4,0.73,3,3,2,,4
7,Why do people follow rules?,social,5,3,5,4,3,5,4,5,3,37,9,4.11,4,0.93,5,4,2,,4
8,Why do fashions and trends spread?,social,3,2,4,4,3,4,3,4,3,30,9,3.33,3,0.71,3,3,2,,4
9,Why do people resist change?,social,5,2,5,5,3,5,5,5,2,37,9,4.11,4,1.36,5,5,2,,4
10,Why do we dream?,natural,4,4,4,4,4,2,4,2,2,30,9,3.33,3,1.00,4,4,1,,5
11,Why do we feel pain?,natural,4,2,3,5,2,4,3,1,1,25,9,2.78,3,1.39,4,3,2,,4
12,Why do animals migrate?,natural,2,2,2,3,2,2,2,2,2,19,9,2.11,2,0.33,2,2,1,,4
13,Why do housing prices keep going up?,economic,5,4,5,4,3,3,2,2,3,31,9,3.44,3,1.13,3,3,2,,4
14,How does taxation work?,economic,5,5,2,2,2,2,1,1,1,21,9,2.33,2,1.58,2,2,2,,3
15,Why do trade wars happen?,economic,5,3,5,3,2,5,2,3,2,30,9,3.33,3,1.32,5,3,3,,4
,,,1.334523279,1,1.032795559,1.162919151,0.9154754164,1.242118007,1.162919151,1.334523279,1.187233679,10.37250752,,,,,,,,,
,,0.9982277757,,,,,,,,,,,,,,,,,,,